Name,Address,Rating,Phone,Website
24 Hour Massage - Herbal Footcare Health & Beauty Centre,"150 Orchard Road 01-03 04/05, #01-42, #02-15, #01-17/18 Orchard Plaza, 238841",4.3,6735 3973,https://www.herbalfootcares.com/
Aylwin Sports Therapy,"20 Kramat Lane #04-04 United House, #04-04, 228773",5,,http://aylwinsportstherapy.com/
Beauty World Thai Massage,"144 Upper Bukit Timah Rd, #01-18, Singapore 588177",4.7,6467 1557,
Chakra Tantra Massage Singapore - Outcall Massage,"111 North Bridge Rd, Singapore 179098",4.3,,http://www.chakratantramassage.com/
FootNote Reflexology - Body & Foot Massage,"10 Paya Lebar Rd, #04-15 PLQ Mall, Singapore 409057",4.8,,http://footnotereflexology.com.sg/
Healing Thai Massage,"39 Jln Besar, Singapore 208802",4.4,6294 0139,http://www.healingthaimassage.com.sg/contact-us
Healthland Pte Ltd ( Traditional Thai Massage / Oil Massage / Foot Massage ),"252A South Bridge Rd, 02-01, Singapore 058801",4.4,6221 3376,https://www.healthlandspa.com.sg/
Heng Heng Massage,"14 Scotts Road #03-59, Far East Plaza, 228213",4.7,6734 8158,http://www.henghengmassage.com/
Indian Girl Massage,"200 Jln Sultan, textile centre, Singapore 199018",4.5,,http://www.indiangirlmassage.com/
Koyee (Unisex) Hair & Beauty Saloon,"10 Jln Kelulut, Singapore 809028",4.6,6852 0032,http://www.koyee.com.sg/
Lyna Viet Massage & Spa,"33 Erskine Rd, #01-07 The Scarlet Hotel, Singapore 069333",4.9,6980 0769,http://www.facebook.com/vietmassagespa
Massagez Kaki Wellness AMK,"532 Ang Mo Kio Ave 10, #01-2499 Cheng San Centre, Singapore 560532",5,6873 0813,https://massagezkakiwellnessamk.business.site/?utm_source=gmb&utm_medium=referral&kWe=2ahUKEwj64YOcxd7zAhW0uksFHa-LAb04PBCBT3oFCAEQnAI
NING Foot & Back Massage Spa,"78 Airport Boulevard #04 - 215 / 216 Jewel, Singapore Changi Airport, 819666",4.7,6612 1313,https://ningspa.com/
Oriental Therapy Pte Ltd,"354 Alexandra Rd, #01-16 Alexis on, Singapore 159948",4.7,6334 1678,https://orientalthsg.com/
Precious Foot Reflexology - Massage | Tui na | Foot Massage | Gua Sha - Toa Payoh,"177 Toa Payoh Central, #01-134, Singapore 310177",4.7,6354 1911,http://www.preciousfoot.com.sg/
Sabaai Sabaai Traditional Thai Massage,"49A Boat Quay, Singapore 049838",4.7,,http://www.sabaaisabaai.com/
Sante Wellness Pte Ltd,"Hougang Avenue 1 #01-1452, Block 124, 530124",4.9,,https://www.santewellness.online/
Soul Massage Singapore (Orchard) - Home Massage Service,"321 Orchard Rd, Singapore 238836",4.2,,https://soul-massage-singapore.business.site/?utm_source=gmb&utm_medium=referral
Soul Massage,"4 Opal Cres, Singapore 328399",4.8,6291 6583,https://www.soulmassage.sg/
Tao Yuan Spa,"531 Balestier Rd, Singapore 329858",4.2,6256 2329,https://taoyuan-spa.business.site/?utm_source=gmb&utm_medium=referral
TD Spa ~ Traditional Thai Massage,"122 Bedok North Street 2, #01-132, Singapore 460122",4.4,6445 0466,https://www.tdspacompany.com/
Wan Lin Healthcare Centre,"149 Rochor Road #02-07/13/14/15/16/17 Fu Lu Shou Complex, 188425",4.7,6338 1355,https://www.wanlinhealthcare.com/
Yue Yuan Beauty Spa,"805 North Bridge Rd, Singapore 198773",3.7,6298 2326,https://www.facebook.com/YUEYUANSPA/
