Name,Address,Rating,Phone,Website
24 Hour Massage - Herbal Footcare Health & Beauty Centre,"150 Orchard Rd, 01-03 04/05, #01-42, #02-15, #01-17/18 Orchard Plaza, Singapore 238841",4.3,"<span aria-label=""Call phone number 6735 3973"">6735 3973</span>",https://www.herbalfootcares.com/
Absolute Massage,"1 Pasir Ris Cl, #02-313 E! Avenue, Singapore 519599",4.0,6214 9551,http://www.absolutemassage.com.sg/
Almond Spa Holland Village,"31 Holland Cl, #01-229, Singapore 270031",5.0,"<span aria-label=""Call phone number 6974 9590"">6974 9590</span>",http://almond-spa.com/
Ancient Dynasty Massage & Spa (Upper Thomson),"5 Thong Soon Avenue, Springleaf Garden, 787433",4.3,"<span aria-label=""Call phone number 6458 4948"">6458 4948</span>",http://www.ancientdynastyspa.com/
Aramsa - The Garden Spa,"1384 Ang Mo Kio Ave 1, 2, Singapore 569932",4.9,"<span aria-label=""Call phone number 6456 6556"">6456 6556</span>",http://www.aramsaspas.com/
At Ease Foot Reflexology & Body Massage,"7C Binjai Park, Singapore 589821",5.0,"<span aria-label=""Call phone number 9661 0832"">9661 0832</span>",https://atease.sg/
Beauty World Thai Massage,"144 Upper Bukit Timah Rd, #01-18, Singapore 588177",4.7,6467 1557,Info is not retrievable
Blind Massage Services,"1 Tanjong Pagar Plaza, #02-55, Singapore 082001",4.8,"<span aria-label=""Call phone number 9793 0255"">9793 0255</span>",https://www.facebook.com/BlindMassageService/
Chakra Tantra Massage Singapore - Outcall Massage,"111 North Bridge Rd, Singapore 179098",4.3,"<span aria-label=""Call phone number 9059 9987"">9059 9987</span>",http://www.chakratantramassage.com/
Core Concepts Physiotherapy Novena Square,"238 Thomson Road, #03-32 Velocity, Novena Square, 307683",4.9,6226 3632,https://www.coreconcepts.com.sg/?utm_source=GMBlisting&utm_medium=Organic
DONG BEI - NORTHEAST TRADITIONAL THERAPY CENTRE,"159 Jln Besar, 208876 159, Singapore 208875",4.4,6396 0390,Info is not retrievable
Dreamland Spa,"Blk 101 Yishun Ave 5 #01-25, 760101",4.2,6257 8589,https://www.dreamlandspa.sg/
Fave Spa,"56 New Upper Changi Rd, #01-1330, Singapore 461056",4.7,"<span aria-label=""Call phone number 6243 0441"">6243 0441</span>",http://www.favespa.sg/
FootNote Reflexology - Body & Foot Massage,"10 Paya Lebar Rd, #04-15 PLQ Mall, Singapore 409057",4.8,"<span aria-label=""Call phone number 8908 0415"">8908 0415</span>",http://footnotereflexology.com.sg/
g.spa Singapore - 24 Hour One-Stop Spa Destination,"102 Guillemard Rd, #02-02, Singapore 399719",4.2,6280 8988,https://www.gspa.com.sg/
Golden Pail Spa,"304 Thomson Rd, Singapore 307654",4.6,"<span aria-label=""Call phone number 6266 6218"">6266 6218</span>",http://goldenpailspa.com/
Grandeur Spa,"480 River Valley Rd, Singapore 248365",4.6,"<span aria-label=""Call phone number 6310 5589"">6310 5589</span>",http://www.grandeurspa.sg/
Green Apple Spa,"765 North Bridge Rd, Singapore 198733",4.2,"<span aria-label=""Call phone number 6299 1555"">6299 1555</span>",https://www.facebook.com/greenapplespa/
HAN Dynasty @ Alexandra Village,"123 Bukit Merah Lane 1, #01-98, Singapore 150123",4.3,"<span aria-label=""Call phone number 6264 6366"">6264 6366</span>",http://www.handynastyspa.com/
HAN Dynasty @ Balestier,"221, #04-01 Balestier Rd, 329928",4.1,"<span aria-label=""Call phone number 6254 6466"">6254 6466</span>",http://handynastyspa.com/
HAN Dynasty @ Thomson,"3 Jasmine Rd, Singapore 576579",4.5,"<span aria-label=""Call phone number 6265 6366"">6265 6366</span>",http://www.handynastyspa.com/
Healing Thai Massage,"39 Jln Besar, Singapore 208802",4.4,"<span aria-label=""Call phone number 6294 0139"">6294 0139</span>",http://www.healingthaimassage.com.sg/contact-us
Healthland Pte Ltd ( Traditional Thai Massage  Oil Massage  Foot Massage ),"252A South Bridge Rd, 02-01, Singapore 058801",4.4,6221 3376,https://www.healthlandspa.com.sg/
Heng Heng Massage,"14 Scotts Road #03-59, Far East Plaza, 228213",4.7,"<span aria-label=""Call phone number 6734 8158"">6734 8158</span>",http://www.henghengmassage.com/
Hua Mu Lan Spa,"Clementi Ave 3, #01-51 BLK 443, Singapore 120443",4.0,"<span aria-label=""Call phone number 6774 0818"">6774 0818</span>",https://hua-mu-lan-spa.business.site/
i Spa Singapore,"167 Woodlands Street 11, #01-09, Singapore 730167",4.1,6363 3933,https://www.ispa.sg/
Indian Girl Massage,"200 Jln Sultan, textile centre, Singapore 199018",4.5,8113 5446,http://www.indiangirlmassage.com/
Jia Kang Foot Reflexology,"2 Havelock Rd, #01-29, Singapore 059763",4.9,9476 9723,Info is not retrievable
Judilao Pte Ltd,"1112 Serangoon Rd, Singapore 328201",5.0,6291 3363,https://judilao-pte-ltd.business.site/?utm_source=gmb&utm_medium=referral
Knead Press Spa @ Kovan,"23A Simon Rd, Singapore 545910",4.9,6203 8880,https://knead-press-spa.business.site/
Koyee (Unisex) Hair & Beauty Saloon,"10 Jln Kelulut, Singapore 809028",4.6,"<span aria-label=""Call phone number 6852 0032"">6852 0032</span>",http://www.koyee.com.sg/
Kyoto Spa Foot & Body Massage,"5 Binjai Park, Singapore 589820",4.7,"<span aria-label=""Call phone number 6235 5562"">6235 5562</span>",https://www.facebook.com/kyotospasg
Le Mandarin Spa,"22 Havelock Rd, 01-711, Singapore 160022",4.4,6377 0628,http://www.lemandarinspa.sg/
Legend Spa and Massage,"2 First St, 01-08 Siglap V, Singapore 458278",4.3,"<span aria-label=""Call phone number 6444 1588"">6444 1588</span>",http://legendspa.com.sg/
Live Spa,"71 Seng Poh Rd, 01-45, Singapore 160071",4.7,"<span aria-label=""Call phone number 6221 4889"">6221 4889</span>",http://www.livespa.sg/
Loy Krathong,"59 Lor 27 Geylang, Singapore 388185",4.4,"<span aria-label=""Call phone number 6745 4533"">6745 4533</span>",http://www.loykrathong.com.sg/
Lyna Viet Massage & Spa,"33 Erskine Rd, #01-07 The Scarlet Hotel, Singapore 069333",4.9,"<span aria-label=""Call phone number 6980 0769"">6980 0769</span>",http://www.facebook.com/vietmassagespa
